Date,TowerID,Place,Region,Description of change,Source,Route
2023-10-17,16763,"Fornham St Martin, S Martin",Suffolk,"Bells removed from the tower, project to rehang and augment to eight now underway.",Neal Dodge,
2023-10-17,12429,"London, S Botolph without Aldgate",City of London,5th clapper now repaired,Tim Mills,
2023-10-16,12879,"Netley, S Edward Conf",Hampshire,As received weights and nominals added,Mark Walker WoA,#005770
2023-10-15,17729,"Exeter, S Stephen",Devon,Added listing building details,"Listed building data, downloaded 21/Sep/2023.",Tim Jackson
2023-10-14,14854,"Snodland, All Saints",Kent,1-6: turning added,Church bells of Kent (Online),James Hedgcock #005766
2023-10-14,14854,"Snodland, All Saints",Kent,"Fr1: material, truss, layout added",Michael Birkbeck visit,
2023-10-13,15344,"Milverton, S Michael",Somerset,Future project added,Isaac O'Shea (O'Shea Engineering) #005763,
2023-10-13,11438,"Ombersley, S Andrew",Worcestershire,6: noted as cracked,"Fiona Davies, Churchwarden",Churchwardens' FB group
2023-10-13,10384,"Sidmouth, S Nicholas",Devon,1-10: turning added,James Hedgcock (visited 06/12/2003) #005761,
2023-10-12,11540,"Burton Dassett, All Saints",Warwickshire,New project added,Graham Nabb #005760,
2023-10-12,10045,"Hugglescote, S John Bapt",Leicestershire,1-8: turning added,Hazel Gooch quoting Taylors report,James Hedgcock #005757
2023-10-12,10487,"Long Buckby, S Lawrence",Northamptonshire,Fr1A: layout amended,Dan Meakin - regular ringer and steeple keeper at Long Buckby #005755,
2023-10-12,10384,"Sidmouth, S Nicholas",Devon,Service: role changed from unused,"David Bagley, from personal visit",
2023-10-12,23612,"St Annes on the Sea, S Thomas",Lancashire,Place name amended for consistency with other towers in the town,Tim Jackson,
2023-10-12,24065,"Stoke Talmage, S Mary Magdalen",Oxfordshire,"Overhaul added; 1-2: weight, turning added, diameter amended","Chris Pickford, citing Sharpe Trust papers (overhaul) and Andrew Nicholson",
2023-10-12,25336,"Stratfield Turgis, All Saints",Hampshire,Note added,Tim Jackson,
