Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
1,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,1,1950,,cast iron,John Taylor & Co,,8.3.A.h,5.1,6.1,1
2,Ab Kettleby,S James,Leicestershire,12574,SK724228,52.79858,-0.92747,1.1,2016,,cast iron,Local labour/guild/assn,,8.3.A.h,1,,
8828,Abberley,S Mary,Worcestershire,17296,SO751679,52.30949,-2.36569,1,1851,,timber,C & G Mears,,5.S,,,0
8908,Abberton,S Andrew,Essex,17794,TL997193,51.83735,0.89788,1,,,oak,,,5.A,,,0
3,Abbess Roding,S Edmund K&M,Essex,13760,TL571114,51.77958,0.27690,1,,,timber,,,10;6.A,3.1,,0
4,Abbey Dore,S Mary,Herefordshire,16153,SO387303,51.96860,-2.89361,1,2013,,steel,John Taylor & Co,,,,,0
7,Abbots Bickington,S James,Devon,10151,SS384132,50.89614,-4.29828,1,,,oak;steel,(unidentified),,6.A,3.1,,0
9,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,8,c1612,Y,timber,,,6.B,,,0
8,Abbots Bromley,S Nicholas,Staffordshire,14443,SK079245,52.81844,-1.88389,1,1957,,cast iron,John Taylor & Co,,8.3.A.h,8.3,,0
10,Abbots Langley,S Lawrence,Hertfordshire,13781,TL094021,51.70775,-0.41716,1,,,timber,,,,6.1,,0
11,Abbots Leigh,Holy Trinity,Somerset,13048,ST544740,51.46323,-2.65736,1,1905,,metal,Llewellins & James,,,,,0
12,Abbots Morton,S Peter,Worcestershire,17344,SP026549,52.19291,-1.96243,1,c1842,,oak,William Savory,,6.A,4.2D,,0
13,Abbots Ripton,S Andrew,Cambridgeshire,14528,TL230780,52.38636,-0.19334,1,c1699,,oak,,,6.A,4.2,,0
14,Abbotsbury,S Nicholas,Dorset,16106,SY577852,50.66497,-2.59917,1,1898,,oak,Harry Stokes,,,,,0
15,Abbotsham,S Helen,Devon,13486,SS424264,51.01557,-4.24735,1,1910,,cast iron,Harry Stokes,,8.3.A.i,6.1,,0
17,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,2,,,cast iron,(unidentified),,8.3.A.i,,,0
16,Abbotskerswell,Blessed Virgin Mary,Devon,11765,SX855687,50.50728,-3.61481,1,,,oak,(unidentified),,6.A,6.4,,0
18,Abbotsley,S Margaret,Cambridgeshire,13660,TL227565,52.19345,-0.20544,1,c1599,,oak,,,5.D,5.3,,0
19,Abenhall,S Michael,Gloucestershire,13453,SO671174,51.85445,-2.47867,1,1907,,cast iron;oak,Charles Carr,,7.B.b,4.3,,0
20,Aberavon,S Mary,"Neath Port Talbot, West Glamorgan, Wales",15542,SS762901,51.59631,-3.78749,1,1893,,cast iron,John Taylor & Co,,8.3.A.h,,,0
22,Aberdare,S Elvan,"Rhondda Cynon Taff, Mid Glamorgan, Wales",11708,SO002025,51.71318,-3.44564,1,1935,,cast iron,Gillett & Johnston,,8.3.A.m,8.3,,0
23,Aberdeen,Cath Ch of S Machar,"City of Aberdeen, Scotland",13827,NJ938087,57.16977,-2.10266,1,1912,,cast iron,John Warner & Sons,,,8.3,,0
24,Aberford,S Ricarius,West Yorkshire,16446,SE432371,53.82881,-1.34408,1,c1879,,timber,Thomas Mallaby,Y,5.L;6.A,4.3,,0
25,Abergavenny,S Mary,"Monmouthshire, Gwent, Wales",10227,SO301141,51.82140,-3.01544,1,1947,,cast iron,John Taylor & Co,,8.3.A.h,11,,0
26,Abergele,S Michael,"Conwy, Clwyd, Wales",10276,SH945776,53.28527,-3.58366,1,,,composite,,,7.A.a,6.4,,0
8619,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,3,,,,,,,,,0
8618,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,2,,,,,,,,,0
7836,Abilene,The Heavenly Rest,"Texas, United States of America",16770,,32.44421,-99.74567,1,,,,,,,,,0
7965,Abingdon,S Helen,Oxfordshire,15023,SU496967,51.66771,-1.28284,9,,,,,,,,,0
7966,Abingdon,S Helen,Oxfordshire,15023,SU496967,51.66771,-1.28284,2,,,,,,,,,0
27,Abingdon,S Helen,Oxfordshire,15023,SU496967,51.66771,-1.28284,1,2005,,cast iron,Whites of Appleton,,8.3.A.h,10,,0
7967,Abingdon,S Nicolas,Oxfordshire,10628,SU498970,51.67024,-1.28093,9,,,,,,,,,0
29,Abingdon,S Nicolas,Oxfordshire,10628,SU498970,51.67024,-1.28093,2,1933,,cast iron,Gillett & Johnston,,8.3.D.a,,,0
28,Abingdon,S Nicolas,Oxfordshire,10628,SU498970,51.67024,-1.28093,1,1933,,cast iron,Gillett & Johnston,,8.3.D.a,5.12R,,0
8368,Abington Pigotts,S Michael & All Angels,Cambridgeshire,17805,TL304446,52.08496,-0.09774,1,1927,,timber,Alfred Bowell,,6.A,,,0
30,Abson,S James Gt,Gloucestershire,15632,ST705748,51.47175,-2.42593,1,1926,,cast iron,Gillett & Johnston,,8.3.A.m,6.1,,0
32,Accrington,S James,Lancashire,10851,SD759284,53.75196,-2.36551,2,1967,,steel,John Taylor & Co,,8.1.A.b,,,0
31,Accrington,S James,Lancashire,10851,SD759284,53.75196,-2.36551,1,1953,,cast iron,John Taylor & Co,,8.3.A.h,8.3,,0
33,Achurch,S John Bapt,Northamptonshire,11215,TL021831,52.43662,-0.49905,1,1816,,timber,,,,,,0
34,Ackworth,S Cuthbert,West Yorkshire,17105,SE440180,53.65726,-1.33536,1,,,oak,,,,6.1,,0
36,Acle,S Edmund,Norfolk,15637,TG401102,52.63720,1.54723,2,1933,,cast iron;steel,Gillett & Johnston,,,3.3,,0
35,Acle,S Edmund,Norfolk,15637,TG401102,52.63720,1.54723,1,1933,,cast iron;steel,Gillett & Johnston,,,3.3,,0
7766,Acomb,S Stephen,North Yorkshire,13068,SE572514,53.95591,-1.12919,2,1954,,cast iron,John Taylor & Co,,,,,0
7765,Acomb,S Stephen,North Yorkshire,13068,SE572514,53.95591,-1.12919,1,1954,,cast iron,John Taylor & Co,,,,,0
37,Acton,All Saints,Suffolk,11817,TL892452,52.07307,0.75938,1,1926,,oak,A Brown & Son,,6.A,5.1,,0
38,Acton Beauchamp,S Giles,Herefordshire,17694,SO679503,52.15011,-2.47001,1,c1799,,oak,,,,4,,0
8478,Acton Burnell,S Mary,Shropshire,15604,SJ533019,52.61318,-2.69027,1,1889,,timber,James Barwell,,6.A,4.3,,0
8691,Acton Scott,S Margaret,Shropshire,11624,SO453894,52.50003,-2.80629,1,c1961,,timber,Mears & Stainbank,,6.A,3.1,,0
8565,Acton Trussell,S James,Staffordshire,17265,SJ937174,52.75470,-2.09449,1,,,steel,,,8.1.A,,,0
39,Adbaston,S Michael & All Angels,Staffordshire,16659,SJ762279,52.84821,-2.35467,1,c1640,Y,timber,,,6.B,,,0
41,Adderbury,S Mary,Oxfordshire,17072,SP470353,52.01488,-1.31561,8,,,oak,,,,,,0
40,Adderbury,S Mary,Oxfordshire,17072,SP470353,52.01488,-1.31561,1,1927,,cast iron,John Taylor & Co,,,,,0
42,Adderley,S Peter,Shropshire,17704,SJ660395,52.95222,-2.50613,1,,,timber,,,,4.1,,0
43,Addingham,S Peter,West Yorkshire,17108,SE085497,53.94338,-1.87185,1,1957,,cast iron,John Taylor & Co,,8.3.A,6.4,,0
44,Addington,S Mary,Buckinghamshire,15232,SP742284,51.94995,-0.92103,1,c1820,,timber,Local labour/guild/assn,Y,5.C,3.1,,1
45,Addington,S Mary,Buckinghamshire,15232,SP742284,51.94995,-0.92103,1.1,,,timber,,,1,,,
47,Addington,S Mary,Greater London,14695,TQ370639,51.35840,-0.03240,1,1956,,steel,Gillett & Johnston,,8.1.B.a,6.1,,0
46,Addington,S Margaret,Kent,16347,TQ653588,51.30500,0.37108,1,1969,,cast iron,Whitechapel Bell Foundry,,,6,,0
48,Addlethorpe,S Nicholas,Lincolnshire,11106,TF550690,53.19628,0.32008,1,1981,,cast iron,John Taylor & Co,,,,,0
53,Adelaide,Cath Ch of S Francis Xavier (RC),"South Australia, Australia",15785,,-34.92883,138.60127,9,,,,Local labour/guild/assn,,,,,0
52,Adelaide,Cath Ch of S Francis Xavier (RC),"South Australia, Australia",15785,,-34.92883,138.60127,2,1996,,steel,Local labour/guild/assn,,,,,0
